timestamp,file,event,severity,reason
2026-09-13 11:39:30,test_data\new_file.txt,MODIFIED,HIGH,SHA-256 hash does not match the baseline
2026-09-13 11:39:30,test_data\sample.txt,MODIFIED,HIGH,SHA-256 hash does not match the baseline
